country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-04-2025 20:00:00",25.619651,85.147382,PM2.5,103,367,148
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-04-2025 20:00:00",25.619651,85.147382,NO2,9,103,23
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-04-2025 20:00:00",25.619651,85.147382,OZONE,6,39,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-04-2025 20:00:00",25.599486,85.113666,NO2,6,24,11
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-04-2025 20:00:00",25.599486,85.113666,SO2,1,2,2
India,Bihar,Patna,"Samanpura, Patna - BSPCB","08-04-2025 20:00:00",25.596727,85.085624,PM2.5,75,90,83
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-04-2025 20:00:00",22.1910172,83.5197009,PM10,33,148,90
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-04-2025 20:00:00",22.1910172,83.5197009,OZONE,14,32,28
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-04-2025 20:00:00",21.258815,81.578979,PM2.5,26,71,42
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-04-2025 20:00:00",21.258815,81.578979,SO2,5,19,11
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-04-2025 20:00:00",21.219665,81.630094,PM2.5,6,54,35
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-04-2025 20:00:00",21.219665,81.630094,PM10,21,138,68
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-04-2025 20:00:00",21.219665,81.630094,CO,22,121,39
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-04-2025 20:00:00",21.237755,81.705301,PM10,1,115,59
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","08-04-2025 20:00:00",22.08815,82.13737,PM10,42,263,84
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-04-2025 20:00:00",22.118125,83.140608,PM2.5,29,62,43
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-04-2025 20:00:00",22.118125,83.140608,NH3,7,7,7
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-04-2025 20:00:00",22.118125,83.140608,SO2,8,41,17
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-04-2025 20:00:00",22.368195,82.746431,NO2,21,27,23
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-04-2025 20:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","08-04-2025 20:00:00",22.348441,82.549611,PM10,59,201,136
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","08-04-2025 20:00:00",22.348441,82.549611,CO,16,68,19
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","08-04-2025 20:00:00",25.859655,85.77944,SO2,6,28,23
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-04-2025 20:00:00",24.952822,84.002396,PM2.5,113,277,168
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-04-2025 20:00:00",24.952822,84.002396,OZONE,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","08-04-2025 20:00:00",26.2271665,84.3570427,NO2,9,13,10
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","08-04-2025 20:00:00",30.735567,76.775714,NO2,29,320,84
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","08-04-2025 20:00:00",30.751462,76.762879,NO2,30,115,56
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-04-2025 20:00:00",25.7808257,84.7446768,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-04-2025 20:00:00",24.7955,84.9994,NO2,2,10,6
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-04-2025 20:00:00",24.7955,84.9994,SO2,13,15,14
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-04-2025 20:00:00",24.792403,84.992416,PM2.5,40,137,71
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-04-2025 20:00:00",24.792403,84.992416,NO2,2,7,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-04-2025 20:00:00",24.762518,84.982348,OZONE,3,32,22
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-04-2025 20:00:00",25.697189,85.245900,PM2.5,49,92,71
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 20:00:00",30.719859,76.738637,PM10,79,182,124
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 20:00:00",30.719859,76.738637,NO2,32,278,107
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-04-2025 20:00:00",21.185571,81.343175,NH3,2,2,2
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-04-2025 20:00:00",21.185571,81.343175,CO,3,103,28
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-04-2025 20:00:00",26.1403345,85.3650192,OZONE,9,44,32
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-04-2025 20:00:00",26.1209,85.3647,PM2.5,22,47,31
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-04-2025 20:00:00",26.1209,85.3647,NO2,9,15,11
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-04-2025 20:00:00",26.1209,85.3647,SO2,5,7,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-04-2025 20:00:00",25.03280,85.41948,PM10,86,362,187
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-04-2025 20:00:00",25.03280,85.41948,NH3,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","08-04-2025 20:00:00",25.892357,86.590325,SO2,9,18,15
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-04-2025 20:00:00",28.611281,77.237738,OZONE,5,279,206
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","08-04-2025 20:00:00",28.636429,77.201067,NH3,9,13,11
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-04-2025 20:00:00",28.684678,77.076574,SO2,12,34,16
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-04-2025 20:00:00",28.60909,77.0325413,NO2,44,47,46
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-04-2025 20:00:00",28.60909,77.0325413,NH3,12,14,13
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-04-2025 20:00:00",28.60909,77.0325413,CO,12,72,22
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-04-2025 20:00:00",28.60909,77.0325413,OZONE,17,68,59
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","08-04-2025 20:00:00",28.570173,76.933762,PM10,134,319,194
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-04-2025 20:00:00",28.623763,77.287209,NH3,16,26,22
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-04-2025 20:00:00",28.623763,77.287209,SO2,2,10,6
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-04-2025 20:00:00",28.623763,77.287209,OZONE,8,193,165
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-04-2025 20:00:00",28.639652,77.146275,PM2.5,77,253,152
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-04-2025 20:00:00",28.639652,77.146275,PM10,137,289,189
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-04-2025 20:00:00",28.639652,77.146275,NH3,4,15,11
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-04-2025 20:00:00",28.639652,77.146275,SO2,17,35,26
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-04-2025 20:00:00",28.636110,77.173332,CO,34,108,47
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-04-2025 20:00:00",28.563262,77.186937,NH3,5,7,6
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-04-2025 20:00:00",28.6811736,77.3025234,OZONE,8,60,45
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-04-2025 20:00:00",28.732820,77.170633,NH3,8,13,10
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-04-2025 20:00:00",28.732820,77.170633,SO2,25,70,41
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-04-2025 20:00:00",28.580280,77.233829,OZONE,10,94,57
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","08-04-2025 20:00:00",28.588333,77.221667,NO2,30,220,80
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","08-04-2025 20:00:00",28.588333,77.221667,SO2,19,74,39
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","08-04-2025 20:00:00",28.5918245,77.2273074,PM10,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 20:00:00",22.06631475,83.33820077,NO2,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 20:00:00",22.06631475,83.33820077,CO,18,53,28
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-04-2025 20:00:00",28.815329,77.153010,PM2.5,88,391,270
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-04-2025 20:00:00",28.815329,77.153010,PM10,155,437,294
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-04-2025 20:00:00",28.815329,77.153010,CO,9,60,18
